year,census,pop,cont_orig,cont_dest,site,treatment,block,plant_ID,sex,survival,longevity,basal_lvs,stem_lvs,total_lvs,bolt_ht,bolt_num,status,rep_spd,flwr_num,frt_num,frt_hadena,reproduced,smut,num_smutted_fl,leaf_herb,gen_ENMY,spec_ENMY
2006,2006summer,SASA,NorthAmerica,Europe,CH,CN,CH01,1939,NaN,A,3,24,NaN,24,NaN,NaN,V,3,NaN,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,BZE,Europe,Europe,CH,CN,CH01,1411,NaN,A,2,32,2,34,6,1,B,1,NaN,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,SCR,NorthAmerica,Europe,CH,CN,CH01,1099,NaN,A,3,17,NaN,17,NaN,NaN,V,3,NaN,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,EGR,Europe,Europe,CH,CN,CH01,1721,M,A,3,6,10,16,52,1,FL,1,1,NaN,NaN,NaN,H,NaN,2,1,0
2006,2006summer,SASA,NorthAmerica,Europe,CH,CN,CH01,1675,M,A,2,10,16,26,55,1,FL,1,3,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,PRT,Europe,Europe,CH,CN,CH01,2284,NaN,A,2,4,3,7,5,1,B,1,NaN,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,LAU,Europe,Europe,CH,CN,CH01,2697,NaN,A,1,10,NaN,10,NaN,NaN,V,NaN,NaN,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,MAI,Europe,Europe,CH,CN,CH01,1252,M,A,5,32,NaN,32,NaN,NaN,V,4,NaN,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,SCR,NorthAmerica,Europe,CH,CN,CH01,1022,NaN,A,2,12,NaN,12,NaN,NaN,V,NaN,NaN,NaN,NaN,NaN,H,NaN,3,0,0
2006,2006summer,DK7,Europe,Europe,CH,CN,CH01,3000,NaN,D,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,2006summer,SASA,NorthAmerica,Europe,CH,CN,CH01,532,M,A,2,0,19,19,54,1,FL,1,2,NaN,NaN,NaN,H,NaN,0,0,0
2006,2006summer,BZE,Europe,Europe,CH,CN,CH01,1220,NaN,A,2,19,NaN,19,NaN,NaN,V,NaN,NaN,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,RUZ,Europe,Europe,CH,CN,CH01,1235,NaN,A,3,17,NaN,17,NaN,NaN,V,3,NaN,NaN,NaN,NaN,H,NaN,0,0,0
2006,2006summer,SASA,NorthAmerica,Europe,CH,CN,CH01,2129,M,A,4,0,NaN,0,NaN,NaN,V,3,NaN,NaN,NaN,NaN,H,NaN,0,0,0
2006,2006summer,RRW,NorthAmerica,Europe,CH,CN,CH01,660,M,A,4,20,NaN,20,NaN,NaN,V,3,NaN,NaN,NaN,NaN,H,NaN,0,0,0
2006,2006summer,DK5,Europe,Europe,CH,CN,CH01,1439,F,A,7,25,NaN,25,NaN,NaN,V,3,NaN,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,ZAG,Europe,Europe,CH,CN,CH01,2353,NaN,A,2,0,18,18,39,1,B,1,NaN,NaN,NaN,NaN,H,NaN,0,0,0
2006,2006summer,CRE2,Europe,Europe,CH,CN,CH01,1989,M,A,4,0,18,18,57,1,B,1,NaN,NaN,NaN,NaN,H,NaN,0,0,0
2006,2006summer,SCR,NorthAmerica,Europe,CH,CN,CH01,522,M,A,5,12,12,24,38,1,B,1,NaN,NaN,NaN,NaN,H,NaN,0,0,0
2006,2006summer,DK7,Europe,Europe,CH,CN,CH01,3011,NaN,D,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,2006summer,SCR,NorthAmerica,Europe,CH,CN,CH01,953,NaN,A,2,13,NaN,13,NaN,NaN,V,NaN,NaN,NaN,NaN,NaN,H,NaN,3,0,0
2006,2006summer,SG,Europe,Europe,CH,CN,CH01,1543,F,A,5,20,26,46,69,1,FL,1,1,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,SASA,NorthAmerica,Europe,CH,CN,CH01,487,NaN,A,2,14,NaN,14,NaN,NaN,V,NaN,NaN,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,RRW,NorthAmerica,Europe,CH,CN,CH01,2066,F,A,5,0,16,16,68,1,FL,1,1,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,SCR,NorthAmerica,Europe,CH,CN,CH01,1757,NaN,A,2,16,NaN,16,NaN,NaN,V,NaN,NaN,NaN,NaN,NaN,H,NaN,3,0,0
2006,2006summer,DK5,Europe,Europe,CH,CN,CH01,1937,NaN,A,3,24,NaN,24,NaN,NaN,V,3,NaN,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,SASA,NorthAmerica,Europe,CH,CN,CH01,782,NaN,A,2,11,10,21,31,1,B,1,NaN,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,SASA,NorthAmerica,Europe,CH,CN,CH01,84,NaN,A,1,14,NaN,14,NaN,NaN,V,NaN,NaN,NaN,NaN,NaN,H,NaN,3,0,0
2006,2006summer,SVL1,Europe,Europe,CH,FI,CH01,1454,M,A,3,0,24,24,93,1,FL,1,3,NaN,NaN,NaN,H,NaN,0,0,0
2006,2006summer,SAL,Europe,Europe,CH,FI,CH01,570,F,A,6,0,30,30,35,1,FR,1,NaN,4,4,Y,H,NaN,0,0,1
2006,2006summer,LAU,Europe,Europe,CH,FI,CH01,2711,NaN,A,2,11,NaN,11,NaN,NaN,V,NaN,NaN,NaN,NaN,NaN,H,NaN,1,0,0
2006,2006summer,LAU,Europe,Europe,CH,FI,CH01,2689,F,A,6,18,NaN,18,NaN,NaN,V,3,NaN,NaN,NaN,NaN,H,NaN,0,0,0
2006,2006summer,RRW,NorthAmerica,Europe,CH,FI,CH01,682,F,A,5,18,NaN,18,NaN,NaN,V,3,NaN,NaN,NaN,NaN,H,NaN,0,0,0
