pop,cont_orig,cont_dest,site,treatment,block,plant_ID,sex,longevity,basal_lvs,stem_lvs,total_lvs,status,rep_spd,flwr_num,frt_num,frt_hadena,reproduced,smut,num_smutted_fl,leaf_herb,gen_ENMY,spec_ENMY,sire,dam,sibship,sire.pop,dam.pop,Structure_region
JHN,NorthAmerica,Europe,UK,FI,UK03,1,V,1,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,44,22,4.0,4.0,4.0
BZE,Europe,Europe,CH,FI,CH04,3,M,3,70.0,40.0,110.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9,10,5,2.0,2.0,2.0
KIS,Europe,NorthAmerica,CA,CN,CA12,4,M,7,66.0,68.0,134.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49,50,25,2.0,2.0,2.0
BZE,Europe,NorthAmerica,VA,FI,VA07,5,M,3,23.0,26.0,49.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,10,5,2.0,2.0,2.0
CRE2,Europe,NorthAmerica,VA,CN,VA07,6,F,7,110.0,85.0,195.0,17.0,28.0,0.0,3.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,25,26,13,1.0,1.0,1.0
MLBS,NorthAmerica,NorthAmerica,CA,CN,CA06,7,F,7,83.0,43.0,126.0,16.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55,56,28,3.0,3.0,3.0
RNKE,NorthAmerica,NorthAmerica,CA,FI,CA08,8,V,7,37.0,57.0,94.0,10.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,79,80,40,3.0,3.0,3.0
KBS,NorthAmerica,NorthAmerica,CA,FI,CA05,9,M,7,43.0,72.0,115.0,11.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,48,24,4.0,4.0,4.0
CHELL,NorthAmerica,Europe,UK,CN,UK12,10,V,1,5.0,20.0,25.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,22,11,3.0,3.0,3.0
CRE2,Europe,Europe,CH,FI,CH12,11,V,3,15.0,12.0,27.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,26,13,1.0,1.0,1.0
DCK,NorthAmerica,Europe,UK,FI,UK03,12,V,2,31.0,0.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,28,14,4.0,4.0,4.0
