year,census,pop,cont_orig,cont_dest,site,treatment,block,plant_ID,sex,survival,longevity,basal_lvs,stem_lvs,total_lvs,bolt_ht,bolt_num,status,rep_spd,flwr_num,frt_num,frt_hadena,reproduced,smut,num_smutted_fl,leaf_herb,gen_ENMY,spec_ENMY,sire,dam,sibship,sire.pop,dam.pop,Structure_region
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,1753,F,1.0,5,14.0,0.0,14.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006winter,23S,NorthAmerica,Europe,CH,CN,CH06,1753,F,1.0,5,18.0,0.0,18.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,1753,F,1.0,5,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,1753,F,1.0,5,0.0,28.0,28.0,69.0,1.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007winter,23S,NorthAmerica,Europe,CH,CN,CH06,1753,F,1.0,5,0.0,42.0,42.0,79.0,1.0,4.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,2619,M,1.0,4,20.0,0.0,20.0,0.0,0.0,1.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006winter,23S,NorthAmerica,Europe,CH,CN,CH06,2619,M,1.0,4,38.0,0.0,38.0,0.0,0.0,1.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,2619,M,1.0,4,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,2619,M,1.0,4,0.0,132.0,132.0,512.0,6.0,3.0,3.0,0.0,,,,1.0,1.0,1.0,0.0,1.0,1,2,1,3.0,3.0,3.0
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,810,M,1.0,6,19.0,0.0,19.0,0.0,0.0,1.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006winter,23S,NorthAmerica,Europe,CH,CN,CH06,810,M,1.0,6,33.0,0.0,33.0,0.0,0.0,1.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,810,M,1.0,6,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,810,M,1.0,6,0.0,82.0,82.0,202.0,3.0,3.0,3.0,39.0,,,,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007winter,23S,NorthAmerica,Europe,CH,CN,CH06,810,M,1.0,6,0.0,154.0,154.0,349.0,4.0,3.0,3.0,22.0,,,,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2008,2008spring,23S,NorthAmerica,Europe,CH,CN,CH06,810,M,1.0,6,0.0,8.0,8.0,9.0,1.0,2.0,3.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,414,F,1.0,5,8.0,0.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006winter,23S,NorthAmerica,Europe,CH,CN,CH06,414,F,1.0,5,22.0,0.0,22.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,414,F,1.0,5,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,414,F,1.0,5,0.0,42.0,42.0,76.0,1.0,4.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007winter,23S,NorthAmerica,Europe,CH,CN,CH06,414,F,1.0,5,0.0,65.0,65.0,146.0,2.0,4.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,1677,F,1.0,7,9.0,0.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006winter,23S,NorthAmerica,Europe,CH,CN,CH06,1677,F,1.0,7,30.0,0.0,30.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,1677,F,1.0,7,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,1677,F,1.0,7,0.0,26.0,26.0,104.0,1.0,4.0,3.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007winter,23S,NorthAmerica,Europe,CH,CN,CH06,1677,F,1.0,7,0.0,79.0,79.0,289.0,3.0,4.0,3.0,3.0,57.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2008,2008spring,23S,NorthAmerica,Europe,CH,CN,CH06,1677,F,1.0,7,8.0,69.0,77.0,124.0,10.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2008,2008summer,23S,NorthAmerica,Europe,CH,CN,CH06,1677,F,1.0,7,0.0,81.0,81.0,231.0,4.0,4.0,3.0,2.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,1607,F,1.0,6,10.0,0.0,10.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006winter,23S,NorthAmerica,Europe,CH,CN,CH06,1607,F,1.0,6,33.0,0.0,33.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,1607,F,1.0,6,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,1607,F,1.0,6,0.0,224.0,224.0,247.0,2.0,4.0,3.0,2.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007winter,23S,NorthAmerica,Europe,CH,CN,CH06,1607,F,1.0,6,0.0,138.0,138.0,395.0,4.0,4.0,3.0,0.0,29.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2,1,3.0,3.0,3.0
2008,2008spring,23S,NorthAmerica,Europe,CH,CN,CH06,1607,F,1.0,6,4.0,10.0,14.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,180,F,1.0,6,10.0,0.0,10.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006winter,23S,NorthAmerica,Europe,CH,CN,CH06,180,F,1.0,6,26.0,0.0,26.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007spring,23S,NorthAmerica,Europe,CH,CN,CH06,180,F,1.0,6,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007summer,23S,NorthAmerica,Europe,CH,CN,CH06,180,F,1.0,6,0.0,116.0,116.0,207.0,2.0,4.0,3.0,5.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007winter,23S,NorthAmerica,Europe,CH,CN,CH06,180,F,1.0,6,4.0,176.0,180.0,275.0,3.0,4.0,3.0,3.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2008,2008spring,23S,NorthAmerica,Europe,CH,CN,CH06,180,F,1.0,6,0.0,49.0,49.0,42.0,6.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006summer,23S,NorthAmerica,Europe,CH,FI,CH06,1914,V,1.0,2,17.0,0.0,17.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006winter,23S,NorthAmerica,Europe,CH,FI,CH06,1914,V,1.0,2,16.0,0.0,16.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006summer,23S,NorthAmerica,Europe,CH,FI,CH06,579,M,1.0,5,18.0,0.0,18.0,0.0,0.0,1.0,3.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006winter,23S,NorthAmerica,Europe,CH,FI,CH06,579,M,1.0,5,15.0,0.0,15.0,0.0,0.0,1.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007spring,23S,NorthAmerica,Europe,CH,FI,CH06,579,M,1.0,5,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007summer,23S,NorthAmerica,Europe,CH,FI,CH06,579,M,1.0,5,0.0,130.0,130.0,222.0,3.0,3.0,3.0,0.0,,,,1.0,1.0,0.0,0.0,1.0,1,2,1,3.0,3.0,3.0
2007,2007winter,23S,NorthAmerica,Europe,CH,FI,CH06,579,M,1.0,5,0.0,85.0,85.0,224.0,2.0,3.0,3.0,7.0,,,,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006summer,23S,NorthAmerica,Europe,CH,FI,CH06,339,F,1.0,7,10.0,0.0,10.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006winter,23S,NorthAmerica,Europe,CH,FI,CH06,339,F,1.0,7,26.0,0.0,26.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007spring,23S,NorthAmerica,Europe,CH,FI,CH06,339,F,1.0,7,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007summer,23S,NorthAmerica,Europe,CH,FI,CH06,339,F,1.0,7,0.0,56.0,56.0,265.0,3.0,4.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007winter,23S,NorthAmerica,Europe,CH,FI,CH06,339,F,1.0,7,4.0,95.0,99.0,285.0,3.0,4.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2008,2008spring,23S,NorthAmerica,Europe,CH,FI,CH06,339,F,1.0,7,2.0,36.0,38.0,68.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,2,1,3.0,3.0,3.0
2008,2008summer,23S,NorthAmerica,Europe,CH,FI,CH06,339,F,1.0,7,0.0,106.0,106.0,344.0,5.0,4.0,3.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006summer,23S,NorthAmerica,Europe,CH,FI,CH06,1200,F,1.0,7,9.0,0.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2006,2006winter,23S,NorthAmerica,Europe,CH,FI,CH06,1200,F,1.0,7,15.0,0.0,15.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007spring,23S,NorthAmerica,Europe,CH,FI,CH06,1200,F,1.0,7,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007summer,23S,NorthAmerica,Europe,CH,FI,CH06,1200,F,1.0,7,0.0,264.0,264.0,300.0,3.0,4.0,3.0,9.0,49.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,2,1,3.0,3.0,3.0
2007,2007winter,23S,NorthAmerica,Europe,CH,FI,CH06,1200,F,1.0,7,14.0,412.0,426.0,361.0,3.0,4.0,3.0,1.0,40.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,2,1,3.0,3.0,3.0
