plant_ID,ID,sire,dam,subpop,sire.pop,dam.pop,Structure_region
2619,1,1,2,1,3,3,3
579,2,1,2,1,3,3,3
810,3,1,2,1,3,3,3
2179,4,1,2,1,3,3,3
110,5,1,2,1,3,3,3
438,6,1,2,1,3,3,3
2573,7,1,2,1,3,3,3
2502,8,1,2,1,3,3,3
1539,9,1,2,1,3,3,3
1623,10,1,2,1,3,3,3
1031,11,1,2,1,3,3,3
1845,12,1,2,1,3,3,3
1753,13,1,2,1,3,3,3
414,14,1,2,1,3,3,3
1607,15,1,2,1,3,3,3
180,16,1,2,1,3,3,3
1230,17,1,2,1,3,3,3
1677,18,1,2,1,3,3,3
339,19,1,2,1,3,3,3
1200,20,1,2,1,3,3,3
2101,21,1,2,1,3,3,3
1091,22,1,2,1,3,3,3
255,23,1,2,1,3,3,3
321,24,1,2,1,3,3,3
2507,25,1,2,1,3,3,3
1156,26,1,2,1,3,3,3
2525,27,1,2,1,3,3,3
2033,28,1,2,1,3,3,3
1738,29,1,2,1,3,3,3
604,30,1,2,1,3,3,3
347,31,1,2,1,3,3,3
1991,32,1,2,1,3,3,3
686,33,1,2,1,3,3,3
860,34,1,2,1,3,3,3
24,35,3,4,2,3,3,3
1315,36,3,4,2,3,3,3
2295,37,3,4,2,3,3,3
1159,38,3,4,2,3,3,3
1728,39,3,4,2,3,3,3
1269,40,3,4,2,3,3,3
2561,41,3,4,2,3,3,3
1611,42,3,4,2,3,3,3
1523,43,3,4,2,3,3,3
753,44,3,4,2,3,3,3
263,45,3,4,2,3,3,3
2026,46,3,4,2,3,3,3
41,47,3,4,2,3,3,3
1152,48,3,4,2,3,3,3
1176,49,3,4,2,3,3,3
2010,50,3,4,2,3,3,3
1192,51,3,4,2,3,3,3
2000,52,3,4,2,3,3,3
1199,53,3,4,2,3,3,3
1036,54,3,4,2,3,3,3
2256,55,3,4,2,3,3,3
1686,56,3,4,2,3,3,3
2600,57,3,4,2,3,3,3
2054,58,3,4,2,3,3,3
654,59,3,4,2,3,3,3
1258,60,3,4,2,3,3,3
108,61,3,4,2,3,3,3
1493,62,3,4,2,3,3,3
1455,63,3,4,2,3,3,3
1280,64,3,4,2,3,3,3
2406,65,3,4,2,3,3,3
442,66,3,4,2,3,3,3
2234,67,5,6,3,2,2,2
1531,68,5,6,3,2,2,2
1532,69,5,6,3,2,2,2
1975,70,5,6,3,2,2,2
859,71,5,6,3,2,2,2
1528,72,5,6,3,2,2,2
2027,73,5,6,3,2,2,2
1344,74,5,6,3,2,2,2
1466,75,5,6,3,2,2,2
778,76,5,6,3,2,2,2
181,77,5,6,3,2,2,2
1934,78,5,6,3,2,2,2
1341,79,5,6,3,2,2,2
1456,80,5,6,3,2,2,2
2237,81,5,6,3,2,2,2
75,82,5,6,3,2,2,2
502,83,5,6,3,2,2,2
1854,84,5,6,3,2,2,2
802,85,5,6,3,2,2,2
452,86,5,6,3,2,2,2
1312,87,7,8,4,1,1,1
2319,88,7,8,4,1,1,1
876,89,7,8,4,1,1,1
2569,90,7,8,4,1,1,1
2382,91,7,8,4,1,1,1
688,92,7,8,4,1,1,1
1555,93,7,8,4,1,1,1
2222,94,7,8,4,1,1,1
1786,95,7,8,4,1,1,1
1174,96,7,8,4,1,1,1
1513,97,7,8,4,1,1,1
2558,98,7,8,4,1,1,1
1918,99,7,8,4,1,1,1
678,100,7,8,4,1,1,1
2291,101,7,8,4,1,1,1
1741,102,7,8,4,1,1,1
2283,103,7,8,4,1,1,1
741,104,7,8,4,1,1,1
1899,105,7,8,4,1,1,1
2216,106,7,8,4,1,1,1
1960,107,7,8,4,1,1,1
651,108,7,8,4,1,1,1
1413,109,7,8,4,1,1,1
952,110,7,8,4,1,1,1
772,111,7,8,4,1,1,1
995,112,7,8,4,1,1,1
1295,113,7,8,4,1,1,1
1321,114,9,10,5,2,2,2
3,115,9,10,5,2,2,2
1602,116,9,10,5,2,2,2
1261,117,9,10,5,2,2,2
2383,118,9,10,5,2,2,2
949,119,9,10,5,2,2,2
445,120,9,10,5,2,2,2
1040,121,9,10,5,2,2,2
2392,122,9,10,5,2,2,2
467,123,9,10,5,2,2,2
2478,124,9,10,5,2,2,2
2471,125,9,10,5,2,2,2
677,126,9,10,5,2,2,2
961,127,9,10,5,2,2,2
1815,128,9,10,5,2,2,2
1178,129,9,10,5,2,2,2
1661,130,9,10,5,2,2,2
215,131,9,10,5,2,2,2
457,132,9,10,5,2,2,2
2092,133,9,10,5,2,2,2
1372,134,9,10,5,2,2,2
1572,135,9,10,5,2,2,2
518,136,9,10,5,2,2,2
2285,137,11,12,6,4,4,4
1896,138,11,12,6,4,4,4
2587,139,11,12,6,4,4,4
719,140,11,12,6,4,4,4
309,141,11,12,6,4,4,4
2582,142,11,12,6,4,4,4
930,143,11,12,6,4,4,4
643,144,11,12,6,4,4,4
705,145,11,12,6,4,4,4
2174,146,11,12,6,4,4,4
2441,147,11,12,6,4,4,4
2451,148,11,12,6,4,4,4
1138,149,11,12,6,4,4,4
1075,150,11,12,6,4,4,4
1843,151,11,12,6,4,4,4
2232,152,11,12,6,4,4,4
940,153,11,12,6,4,4,4
335,154,11,12,6,4,4,4
374,155,11,12,6,4,4,4
1116,156,11,12,6,4,4,4
1691,157,11,12,6,4,4,4
2186,158,11,12,6,4,4,4
2385,159,11,12,6,4,4,4
189,160,11,12,6,4,4,4
2140,161,11,12,6,4,4,4
2465,162,11,12,6,4,4,4
769,163,11,12,6,4,4,4
615,164,11,12,6,4,4,4
2635,165,11,12,6,4,4,4
1124,166,11,12,6,4,4,4
1650,167,11,12,6,4,4,4
459,168,11,12,6,4,4,4
1224,169,11,12,6,4,4,4
1516,170,11,12,6,4,4,4
851,171,11,12,6,4,4,4
551,172,11,12,6,4,4,4
2458,173,11,12,6,4,4,4
905,174,13,14,7,1,1,1
2157,175,13,14,7,1,1,1
1096,176,13,14,7,1,1,1
2651,177,13,14,7,1,1,1
2652,178,13,14,7,1,1,1
2649,179,13,14,7,1,1,1
972,180,13,14,7,1,1,1
2869,181,15,16,8,2,2,2
2828,182,15,16,8,2,2,2
2832,183,15,16,8,2,2,2
2866,184,15,16,8,2,2,2
2860,185,15,16,8,2,2,2
2863,186,15,16,8,2,2,2
2840,187,15,16,8,2,2,2
2850,188,15,16,8,2,2,2
2846,189,15,16,8,2,2,2
2842,190,15,16,8,2,2,2
2848,191,15,16,8,2,2,2
2837,192,15,16,8,2,2,2
2849,193,15,16,8,2,2,2
2867,194,15,16,8,2,2,2
2861,195,15,16,8,2,2,2
2874,196,15,16,8,2,2,2
2843,197,15,16,8,2,2,2
2841,198,15,16,8,2,2,2
2831,199,15,16,8,2,2,2
2836,200,15,16,8,2,2,2
1848,201,17,18,9,3,3,3
755,202,17,18,9,3,3,3
1850,203,17,18,9,3,3,3
820,204,17,18,9,3,3,3
1206,205,17,18,9,3,3,3
639,206,17,18,9,3,3,3
499,207,17,18,9,3,3,3
2470,208,17,18,9,3,3,3
308,209,17,18,9,3,3,3
2374,210,17,18,9,3,3,3
746,211,17,18,9,3,3,3
379,212,17,18,9,3,3,3
798,213,17,18,9,3,3,3
927,214,17,18,9,3,3,3
1732,215,17,18,9,3,3,3
539,216,17,18,9,3,3,3
1613,217,17,18,9,3,3,3
2346,218,17,18,9,3,3,3
2617,219,17,18,9,3,3,3
