year,census,pop,cont_orig,cont_dest,site,treatment,block,plant_ID,sex,survival,longevity,basal_lvs,stem_lvs,total_lvs,bolt_ht,bolt_num,status,rep_spd,flwr_num,frt_num,frt_hadena,reproduced,smut,num_smutted_fl,leaf_herb,gen_ENMY,spec_ENMY,sire,dam,sibship,sire.pop,dam.pop,Structure_region
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,1753,F,A,5,14.0,,14.0,,,V,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,2619,M,A,4,20.0,,20.0,,,V,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,810,M,A,6,19.0,,19.0,,,V,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,414,F,A,5,8.0,,8.0,,,V,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,1677,F,A,7,9.0,,9.0,,,V,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,1607,F,A,6,10.0,,10.0,,,V,3.0,,,,,H,,2.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,CH,CN,CH06,180,F,A,6,10.0,,10.0,,,V,3.0,,,,,H,,2.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,CH,FI,CH06,715,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,CH,FI,CH06,1914,,A,2,17.0,,17.0,,,V,,,,,,H,,2.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,CH,FI,CH06,579,M,A,5,18.0,,18.0,,,V,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,CH,FI,CH06,339,F,A,7,10.0,,10.0,,,V,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,CH,FI,CH06,1200,F,A,7,9.0,,9.0,,,V,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,UK,CN,UK06,1519,,A,2,5.0,,5.0,,,V,,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,UK,CN,UK06,2101,F,A,7,9.0,,9.0,,,V,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,UK,CN,UK06,2626,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,UK,CN,UK06,2535,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,UK,CN,UK06,438,M,A,7,8.0,,8.0,,,V,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,UK,FI,UK06,1690,,A,1,0.0,,0.0,,,V,,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,UK,FI,UK06,1091,F,A,7,18.0,,18.0,,,V,2.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,UK,FI,UK06,1230,F,A,6,0.0,,0.0,,,V,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,UK,FI,UK06,255,F,A,7,9.0,,9.0,,,V,3.0,,,,,H,,3.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,Europe,UK,FI,UK06,321,F,A,7,15.0,,15.0,,,V,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,1821,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,2179,M,A,6,31.0,,31.0,,,V,4.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,2507,F,A,7,22.0,,22.0,,,V,4.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,2573,M,A,7,28.0,,28.0,,,V,4.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,2502,M,A,7,5.0,75.0,80.0,132.0,3.0,B,1.0,,,,,H,,1.0,1.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,VA,CN,VA06,1539,M,A,7,41.0,12.0,53.0,18.0,1.0,B,1.0,,,,,H,,3.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,1623,,A,7,42.0,,42.0,,,V,4.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,1156,F,A,7,23.0,36.0,59.0,86.0,1.0,FR,1.0,2.0,6.0,,N,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,2525,F,A,7,17.0,,17.0,,,V,4.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,2033,F,A,7,0.0,63.0,63.0,124.0,2.0,FR,1.0,2.0,2.0,,N,H,,3.0,1.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,1031,M,A,7,4.0,27.0,31.0,67.0,1.0,FL,1.0,1.0,,,,H,,1.0,1.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,VA,FI,VA06,1738,F,A,7,9.0,18.0,27.0,26.0,1.0,B,1.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,604,F,A,7,12.0,3.0,15.0,6.0,1.0,B,1.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,347,F,A,7,0.0,5.0,5.0,27.0,2.0,B,1.0,,,,,H,,1.0,1.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,154,F,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,1991,F,A,7,3.0,1.0,4.0,19.0,2.0,B,1.0,,,,,H,,1.0,1.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,Europe,NorthAmerica,CA,CN,CA06,686,F,A,7,2.0,3.0,5.0,31.0,1.0,FR,1.0,0.0,1.0,,N,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,CA,CN,CA06,140,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,728,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,1845,M,A,7,8.0,3.0,11.0,11.0,1.0,B,1.0,,,,,H,,0.0,1.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,860,F,A,7,12.0,2.0,14.0,13.0,1.0,B,1.0,,,,,H,,0.0,1.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,960,,D,0,,,,,,,,,,,,,,,,,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,110,M,A,6,4.0,4.0,8.0,15.0,1.0,B,1.0,,,,,H,,0.0,1.0,0.0,1,2,1,3,3,3
2006,2006summer,23S,NorthAmerica,NorthAmerica,CA,FI,CA06,2067,,A,7,9.0,,9.0,,,V,4.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,CH,CN,CH06,1753,F,A,5,18.0,,18.0,,,V,3.0,,,,,H,,0.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,CH,CN,CH06,2619,M,A,4,38.0,,38.0,,,V,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,CH,CN,CH06,810,M,A,6,33.0,,33.0,,,V,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
2006,2006winter,23S,NorthAmerica,Europe,CH,CN,CH06,414,F,A,5,22.0,,22.0,,,V,3.0,,,,,H,,1.0,0.0,0.0,1,2,1,3,3,3
